filename, language, C++, Markdown, Properties, comment, blank, total
c:\dev\ed\README.md, Markdown, 0, 1, 0, 0, 0, 1
c:\dev\ed\character.cpp, C++, 147, 0, 0, 7, 35, 189
c:\dev\ed\character.h, C++, 13, 0, 0, 5, 6, 24
c:\dev\ed\clipboard.cpp, C++, 253, 0, 0, 2, 48, 303
c:\dev\ed\clipboard.h, C++, 9, 0, 0, 0, 1, 10
c:\dev\ed\draw.cpp, C++, 417, 0, 0, 3, 101, 521
c:\dev\ed\draw.h, C++, 24, 0, 0, 0, 3, 27
c:\dev\ed\file.cpp, C++, 400, 0, 0, 15, 64, 479
c:\dev\ed\file.h, C++, 13, 0, 0, 0, 1, 14
c:\dev\ed\globals.cpp, C++, 44, 0, 0, 23, 14, 81
c:\dev\ed\globals.h, C++, 211, 0, 0, 0, 35, 246
c:\dev\ed\helpers.cpp, C++, 392, 0, 0, 0, 69, 461
c:\dev\ed\helpers.h, C++, 31, 0, 0, 0, 3, 34
c:\dev\ed\input.cpp, C++, 625, 0, 0, 18, 80, 723
c:\dev\ed\input.h, C++, 25, 0, 0, 0, 3, 28
c:\dev\ed\line.cpp, C++, 207, 0, 0, 8, 44, 259
c:\dev\ed\line.h, C++, 13, 0, 0, 0, 1, 14
c:\dev\ed\list.cpp, C++, 147, 0, 0, 0, 34, 181
c:\dev\ed\list.h, C++, 16, 0, 0, 0, 2, 18
c:\dev\ed\main.cpp, C++, 202, 0, 0, 6, 47, 255
c:\dev\ed\print.cpp, C++, 1, 0, 0, 8, 0, 9
c:\dev\ed\print.h, C++, 12, 0, 0, 0, 2, 14
c:\dev\ed\scrap.cpp, C++, 224, 0, 0, 12, 58, 294
c:\dev\ed\settings.cfg, Properties, 0, 0, 36, 0, 7, 43
c:\dev\ed\tinydir.h, C++, 682, 0, 0, 70, 80, 832
c:\dev\ed\undoredo.cpp, C++, 255, 0, 0, 1, 39, 295
c:\dev\ed\undoredo.h, C++, 11, 0, 0, 0, 3, 14
Total, -, 4374, 1, 36, 178, 780, 5369
